members_in_class,number_of_classes
1,151397
2,43534
3,4282
4,4198
5,545
6,4510
7,161
8,1884
9,227
10,1297
11,40
12,1024
13,18
14,231
15,51
16,238
17,2
18,152
19,1
20,126
21,25
22,22
24,279
25,40
26,13
27,39
28,24
29,5
30,80
31,4
32,53
33,3
35,2
36,158
37,2
38,2
39,17
40,57
42,27
43,2
44,1
45,2
46,7
48,80
49,4
50,36
52,5
53,1
54,16
55,1
56,52
58,1
60,46
61,3
63,1
64,16
65,2
66,1
68,2
69,1
70,44
72,32
74,1
76,1
77,2
78,1
80,23
81,4
84,9
88,3
89,1
90,11
91,1
92,1
96,24
98,4
99,1
100,6
102,1
104,1
105,2
106,2
108,12
110,1
111,3
112,9
114,1
116,2
120,13
125,4
126,1
128,5
132,2
135,1
138,2
140,7
141,1
142,1
144,9
148,1
150,2
152,1
156,2
160,3
168,5
171,1
176,3
180,8
183,1
186,1
188,1
190,1
192,3
196,3
198,2
200,3
208,1
210,5
216,7
220,1
224,1
226,2
229,2
236,1
238,1
240,6
252,1
260,1
264,2
272,1
280,5
288,6
292,1
300,1
302,2
312,1
319,1
322,1
324,1
336,3
350,1
355,1
360,3
378,1
384,4
392,1
393,1
408,1
420,6
423,1
432,1
436,1
448,1
462,1
465,1
480,1
490,2
504,1
510,1
513,1
539,1
552,2
560,2
588,2
630,1
648,1
672,1
692,1
695,1
768,1
784,1
816,1
840,1
852,1
864,1
873,1
896,2
921,1
990,1
1020,1
1232,1
1236,1
1296,1
1439,1
1536,1
2167,1
2241,1
3343,1
3599,1
