class_id,vertices,n_types,types,n_realizations,K,one_example_mu_to_lambda_per_type
1,1,15,A1+A2+A3+A4+A5+B2+B3+B4+C3+C4+D4+D5+E6+F4+G2,3343,1,A1: (0) -> (0) ; A2: (0 0) -> (0 0) ; A3: (0 0 0) -> (0 0 0) ; A4: (0 0 0 0) -> (0 0 0 0) ; A5: (0 0 0 0 0) -> (0 0 0 0 0) ; B2: (0 0) -> (0 0) ; B3: (0 0 0) -> (0 0 0) ; B4: (0 0 0 0) -> (0 0 0 0) ; C3: (0 0 0) -> (0 0 0) ; C4: (0 0 0 0) -> (0 0 0 0) ; D4: (0 0 0 0) -> (0 0 0 0) ; D5: (0 0 0 0 0) -> (0 0 0 0 0) ; E6: (0 0 0 0 0 0) -> (0 0 0 0 0 0) ; F4: (0 0 0 0) -> (0 0 0 0) ; G2: (0 0) -> (0 0)
2,2,4,A1+B2+C3+C4,552,0,A1: (0) -> (1) ; B2: (0 10) -> (1 9) ; C3: (0 1 0) -> (0 0 1) ; C4: (0 0 1 0) -> (0 0 0 1)
3,2,12,A1+A2+A3+A4+B2+B3+B4+C3+C4+D4+F4+G2,3599,1q,A1: (0) -> (2) ; A2: (0 10) -> (2 9) ; A3: (0 1 0) -> (0 0 2) ; A4: (0 0 1 0) -> (0 0 0 2) ; B2: (0 10) -> (2 8) ; B3: (0 1 0) -> (2 0 0) ; B4: (0 1 0 0) -> (2 0 0 0) ; C3: (0 2 0) -> (0 0 2) ; C4: (0 0 2 0) -> (0 0 0 2) ; D4: (0 1 0 0) -> (0 0 0 2) ; F4: (0 1 0 0) -> (2 0 0 0) ; G2: (10 0) -> (7 2)
4,2,4,A1+B2+C3+C4,238,0,A1: (0) -> (3) ; B2: (0 10) -> (3 7) ; C3: (0 3 0) -> (0 0 3) ; C4: (0 0 3 0) -> (0 0 0 3)
5,2,7,A1+A2+A3+B2+B3+C3+G2,1439,1q^2,A1: (0) -> (4) ; A2: (0 10) -> (4 8) ; A3: (0 2 0) -> (0 0 4) ; B2: (0 10) -> (4 6) ; B3: (0 2 0) -> (4 0 0) ; C3: (0 4 0) -> (0 0 4) ; G2: (10 0) -> (4 4)
8,5,7,A2+A3+A4+B3+B4+D4+F4,355,1q^3,A2: (0 0) -> (0 3) ; A3: (0 0 1) -> (3 0 0) ; A4: (0 0 1 0) -> (3 0 0 0) ; B3: (0 0 2) -> (3 0 0) ; B4: (0 0 1 0) -> (3 0 0 0) ; D4: (0 0 1 1) -> (3 0 0 0) ; F4: (0 0 2 0) -> (3 0 0 0)
10,4,10,A2+A3+A4+A5+B3+B4+D4+D5+E6+F4,2167,1q + 1q^2,A2: (0 0) -> (1 1) ; A3: (0 0 1) -> (1 1 0) ; A4: (0 0 1 0) -> (1 1 0 0) ; A5: (0 0 1 0 0) -> (0 0 0 1 1) ; B3: (0 0 2) -> (1 1 0) ; B4: (0 0 1 0) -> (1 1 0 0) ; D4: (0 0 1 1) -> (1 1 0 0) ; D5: (0 0 1 0 0) -> (1 1 0 0 0) ; E6: (0 0 0 1 0 0) -> (0 0 0 0 1 1) ; F4: (0 0 2 0) -> (1 1 0 0)
13,6,3,A2+A3+B3,32,1q^4 + 1q^5,A2: (0 0) -> (1 4) ; A3: (0 0 2) -> (4 1 0) ; B3: (0 0 4) -> (4 1 0)
14,6,6,A2+A3+A4+B3+B4+D4,58,1q^2 + 1q^3 + 1q^4,A2: (0 0) -> (2 2) ; A3: (0 0 2) -> (2 2 0) ; A4: (0 0 2 0) -> (2 2 0 0) ; B3: (0 0 4) -> (2 2 0) ; B4: (0 0 2 0) -> (2 2 0 0) ; D4: (0 0 2 2) -> (2 2 0 0)
17,6,6,A2+A3+A4+B3+B4+D4,30,1q^3 + 1q^4 + 1q^5 + 1q^6,A2: (0 0) -> (3 3) ; A3: (0 0 3) -> (3 3 0) ; A4: (0 0 3 0) -> (3 3 0 0) ; B3: (0 0 6) -> (3 3 0) ; B4: (0 0 3 0) -> (3 3 0 0) ; D4: (0 0 3 3) -> (3 3 0 0)
